"Doença"," Sintoma_1"," Sintoma_2"," Sintoma_3"," Sintoma_4"," Sintoma_5"," Sintoma_6"," Sintoma_7"," Sintoma_8"," Sintoma_9"," Sintoma_10"," Sintoma_11"," Sintoma_12"," Sintoma_13"," Sintoma_14"," Sintoma_15"," Sintoma_16"," Sintoma_17"
" Colestase crônica"," coceira"," vômito"," pele_amarelada"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","","",""
" Colestase crônica"," vômito"," pele_amarelada"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","","","",""
" Colestase crônica"," coceira"," pele_amarelada"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","","","",""
" Colestase crônica"," coceira"," vômito"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","","","",""
" Colestase crônica"," coceira"," vômito"," pele_amarelada"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","","","",""
" Colestase crônica"," coceira"," vômito"," pele_amarelada"," náusea"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","","","",""
" Colestase crônica"," coceira"," vômito"," pele_amarelada"," náusea"," perda_de_apetite"," amarelamento_dos_olhos","","","","","","","","","","",""
" Colestase crônica"," coceira"," vômito"," pele_amarelada"," náusea"," perda_de_apetite"," dor abdominal","","","","","","","","","","",""
" Colestase crônica"," coceira"," vômito"," pele_amarelada"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","","",""
" Colestase crônica"," coceira"," vômito"," pele_amarelada"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","","",""
" Reação medicamentosa"," coceira"," erupção cutânea"," dor de estômago"," queimação_miccional"," urinar sem parar","","","","","","","","","","","",""
" Reação medicamentosa"," coceira"," dor de estômago"," queimação_miccional"," urinar sem parar","","","","","","","","","","","","",""
" Reação medicamentosa"," coceira"," erupção cutânea"," queimação_miccional"," urinar sem parar","","","","","","","","","","","","",""
" Reação medicamentosa"," coceira"," erupção cutânea"," dor de estômago"," urinar sem parar","","","","","","","","","","","","",""
" Reação medicamentosa"," coceira"," erupção cutânea"," dor de estômago"," queimação_miccional","","","","","","","","","","","","",""
" Reação medicamentosa"," erupção cutânea"," dor de estômago"," queimação_miccional"," urinar sem parar","","","","","","","","","","","","",""
" Reação medicamentosa"," coceira"," dor de estômago"," queimação_miccional"," urinar sem parar","","","","","","","","","","","","",""
" Reação medicamentosa"," coceira"," erupção cutânea"," queimação_miccional"," urinar sem parar","","","","","","","","","","","","",""
" Reação medicamentosa"," coceira"," erupção cutânea"," dor de estômago"," urinar sem parar","","","","","","","","","","","","",""
" Reação medicamentosa"," coceira"," erupção cutânea"," dor de estômago"," queimação_miccional","","","","","","","","","","","","",""
" Doença de úlcera péptica"," vômito"," perda_de_apetite"," dor abdominal"," passagem_de_gases"," coceira_interna","","","","","","","","","","","",""
" Doença de úlcera péptica"," vômito"," indigestão"," dor abdominal"," passagem_de_gases"," coceira_interna","","","","","","","","","","","",""
" Doença de úlcera péptica"," indigestão"," perda_de_apetite"," dor abdominal"," passagem_de_gases"," coceira_interna","","","","","","","","","","","",""
" Doença de úlcera péptica"," vômito"," perda_de_apetite"," dor abdominal"," passagem_de_gases"," coceira_interna","","","","","","","","","","","",""
" Doença de úlcera péptica"," vômito"," indigestão"," dor abdominal"," passagem_de_gases"," coceira_interna","","","","","","","","","","","",""
" Doença de úlcera péptica"," vômito"," indigestão"," perda_de_apetite"," passagem_de_gases"," coceira_interna","","","","","","","","","","","",""
" Doença de úlcera péptica"," vômito"," indigestão"," perda_de_apetite"," dor abdominal"," coceira_interna","","","","","","","","","","","",""
" Doença de úlcera péptica"," vômito"," indigestão"," perda_de_apetite"," dor abdominal"," passagem_de_gases","","","","","","","","","","","",""
" Doença de úlcera péptica"," vômito"," indigestão"," perda_de_apetite"," dor abdominal"," passagem_de_gases"," coceira_interna","","","","","","","","","","",""
" Doença de úlcera péptica"," vômito"," indigestão"," perda_de_apetite"," dor abdominal"," passagem_de_gases"," coceira_interna","","","","","","","","","","",""
" AIDS"," perda de massa muscular"," manchas_na_garganta"," febre alta"," contatos extraconjugais","","","","","","","","","","","","",""
" AIDS"," manchas_na_garganta"," febre alta"," contatos extraconjugais","","","","","","","","","","","","","",""
" AIDS"," perda de massa muscular"," febre alta"," contatos extraconjugais","","","","","","","","","","","","","",""
" AIDS"," perda de massa muscular"," manchas_na_garganta"," contatos extraconjugais","","","","","","","","","","","","","",""
" AIDS"," perda de massa muscular"," manchas_na_garganta"," febre alta","","","","","","","","","","","","","",""
" AIDS"," perda de massa muscular"," manchas_na_garganta"," febre alta"," contatos extraconjugais","","","","","","","","","","","","",""
" AIDS"," perda de massa muscular"," manchas_na_garganta"," febre alta"," contatos extraconjugais","","","","","","","","","","","","",""
" AIDS"," manchas_na_garganta"," febre alta"," contatos extraconjugais","","","","","","","","","","","","","",""
" AIDS"," perda de massa muscular"," febre alta"," contatos extraconjugais","","","","","","","","","","","","","",""
" AIDS"," perda de massa muscular"," manchas_na_garganta"," febre alta","","","","","","","","","","","","","",""
"Diabetes"," fadiga"," perda de peso"," inquietação"," letargia"," nível_irregular_de_açúcar"," visão_turva_e_distorcida"," obesidade"," fome_excessiva"," aumento_do_apetite"," poliúria","","","","","","",""
"Diabetes"," fadiga"," perda de peso"," inquietação"," letargia"," nível_irregular_de_açúcar"," visão_turva_e_distorcida"," obesidade"," fome_excessiva"," aumento_do_apetite"," poliúria","","","","","","",""
"Diabetes"," perda de peso"," inquietação"," letargia"," nível_irregular_de_açúcar"," visão_turva_e_distorcida"," obesidade"," fome_excessiva"," aumento_do_apetite"," poliúria","","","","","","","",""
"Diabetes"," fadiga"," inquietação"," letargia"," nível_irregular_de_açúcar"," visão_turva_e_distorcida"," obesidade"," fome_excessiva"," aumento_do_apetite"," poliúria","","","","","","","",""
"Diabetes"," fadiga"," perda de peso"," letargia"," nível_irregular_de_açúcar"," visão_turva_e_distorcida"," obesidade"," fome_excessiva"," aumento_do_apetite"," poliúria","","","","","","","",""
"Diabetes"," fadiga"," perda de peso"," inquietação"," nível_irregular_de_açúcar"," visão_turva_e_distorcida"," obesidade"," fome_excessiva"," aumento_do_apetite"," poliúria","","","","","","","",""
"Diabetes"," fadiga"," perda de peso"," inquietação"," letargia"," visão_turva_e_distorcida"," obesidade"," fome_excessiva"," aumento_do_apetite"," poliúria","","","","","","","",""
"Diabetes"," fadiga"," perda de peso"," inquietação"," letargia"," nível_irregular_de_açúcar"," obesidade"," fome_excessiva"," aumento_do_apetite"," poliúria","","","","","","","",""
"Diabetes"," fadiga"," perda de peso"," inquietação"," letargia"," nível_irregular_de_açúcar"," visão_turva_e_distorcida"," fome_excessiva"," aumento_do_apetite"," poliúria","","","","","","","",""
"Diabetes"," fadiga"," perda de peso"," inquietação"," letargia"," nível_irregular_de_açúcar"," visão_turva_e_distorcida"," obesidade"," aumento_do_apetite"," poliúria","","","","","","","",""
" Gastroenterite"," vômito"," olhos fundos"," desidratação"," diarréia","","","","","","","","","","","","",""
" Gastroenterite"," vômito"," olhos fundos"," desidratação"," diarréia","","","","","","","","","","","","",""
" Gastroenterite"," olhos fundos"," desidratação"," diarréia","","","","","","","","","","","","","",""
" Gastroenterite"," vômito"," desidratação"," diarréia","","","","","","","","","","","","","",""
" Gastroenterite"," vômito"," olhos fundos"," diarréia","","","","","","","","","","","","","",""
" Gastroenterite"," vômito"," olhos fundos"," desidratação","","","","","","","","","","","","","",""
" Gastroenterite"," vômito"," olhos fundos"," desidratação"," diarréia","","","","","","","","","","","","",""
" Gastroenterite"," olhos fundos"," desidratação"," diarréia","","","","","","","","","","","","","",""
" Gastroenterite"," vômito"," desidratação"," diarréia","","","","","","","","","","","","","",""
" Gastroenterite"," vômito"," olhos fundos"," diarréia","","","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","",""
" Asma brônquica"," tosse"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," febre alta"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," febre alta"," falta de ar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," febre alta"," falta de ar"," história_familiar","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","",""
" Asma brônquica"," tosse"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","",""
" Hipertensão"," dor no peito"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," tontura"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","",""
" Hipertensão"," dor no peito"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","",""
" Enxaqueca"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," fome_excessiva"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," irritabilidade","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","",""
" Espondilose cervical"," fraqueza_nos_membros"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," dor no pescoço"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," dor no pescoço"," tontura","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","",""
" Espondilose cervical"," fraqueza_nos_membros"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," dor de cabeça"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," sensorium_alterado","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," fraqueza_de_um_lado_do_corpo","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," dor de cabeça"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," sensorium_alterado","","","","","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","",""
" Icterícia"," vômito"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," perda de peso"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," febre alta"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," urina escura","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," dor de cabeça"," náusea"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","",""
" Malária"," vômito"," febre alta"," suando"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," febre alta"," suando"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," suando"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," náusea"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," dor de cabeça"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," dor de cabeça"," náusea"," dor_muscular","","","","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","",""
" Catapora"," erupção cutânea"," fadiga"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," fadiga"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," febre alta"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," febre alta"," dor de cabeça"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","",""
" Dengue"," calafrios"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," fadiga"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," náusea"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," diarréia"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","",""
"Tifóide"," calafrios"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","",""
" hepatite A"," vômito"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" hepatite A"," dor nas articulações"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," pele_amarelada"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
